TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,CCRB: Disposition Of Abuse Of Authority Allegations 2005 - 2009 (Public-Safety/CCRB-Disposition-Of-Abuse-Of-Authority-Allegations/mtfg-8ayp),Disposition Of Abuse Of Authority Allegations 2005 - 2009,https://data.cityofnewyork.us/Public-Safety/CCRB-Disposition-Of-Abuse-Of-Authority-Allegations/mtfg-8ayp,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct",0,mtfg-8ayp
Map,Empower Zones (Community-Service/Empower-Zones/khkb-h6hx),Empower Zones,https://data.cityofnewyork.us/Community-Service/Empower-Zones/khkb-h6hx,0,Community Service,"geographic, location, map, cartography, basemap, empower, zone",0,khkb-h6hx
Map,Senior Center Locations (Community-Service/Senior-Center-Locations/2t9n-8jnw),Location of senior centers in the city with basic descriptive information.,https://data.cityofnewyork.us/Community-Service/Senior-Center-Locations/2t9n-8jnw,0,Community Service,"doitt gis, geographic, location, map, senior, senior center, aging, aged, facilities, facility, cartography, services",0,2t9n-8jnw
Map,Street Tree Census (Queens) (Environmental-Sustainability/Street-Tree-Census-Queens-/4wcq-bg6s),"Queens street tree census inventory
Update Frequency: As Needed",https://data.cityofnewyork.us/Environmental-Sustainability/Street-Tree-Census-Queens-/4wcq-bg6s,0,Environmental Sustainability,"park, parks, nature, recreation, tree, census, arbor, geographic, queens",0,4wcq-bg6s
Tabular,CCRB: Race of Officers against Whom Allegations Were Substantiated 2005 - 2009 (Public-Safety/CCRB-Race-of-Officers-against-Whom-Allegations-Wer/94cw-y5s2),CCRB: Race of Officers against Whom Allegations Were Substantiated 2005 - 2009,https://data.cityofnewyork.us/Public-Safety/CCRB-Race-of-Officers-against-Whom-Allegations-Wer/94cw-y5s2,0,Public Safety,"complaint, civilian, review, board, activity, ccrb, civilian complaint review board, 2005, 2006, 2007, 2008, 2009, complaint activity, statistics, disciplinary recommendation, allegation, misconduct",0,94cw-y5s2
Map,Map of Handball Courts (Facilities-and-Structures/Map-of-Handball-Courts/6rdw-7wk8),"GIS Map of Handball Courts in New York City Department of Parks & Recreation properties.
Update Frequency: Quarterly",https://data.cityofnewyork.us/Facilities-and-Structures/Map-of-Handball-Courts/6rdw-7wk8,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, handball, ball, court, sports, game, geographic",0,6rdw-7wk8
Tabular,Clear Channel Sign List - Times Sqaure (Other/Clear-Channel-Sign-List-Times-Sqaure/wjtn-s4z7),Clear Channel Spectacolor Sign Locations in Times Square,https://data.cityofnewyork.us/Other/Clear-Channel-Sign-List-Times-Sqaure/wjtn-s4z7,0,Other,"times square alliance, times square, crossroads, crossroads of the world, nyc, new york city, new york, manhattan, theater, food, screens, pedestrian, entertainment, tourism, signs, clear channel",0,wjtn-s4z7
External,Coastal Boundaries (Environmental-Sustainability/Coastal-Boundaries/bvc7-nbpp),"GIS data: The Coastal Zone Boundary defines the geographic scope of New York City's Waterfront Revitalization Program (WRP). Pursuant to federal statute, the boundary encompasses all land and water of direct and significant impact on coastal waters. Federal lands and facilities are excluded from the coastal zone and consistency review in accordance with federal legislation. However, should the federal government dispose of any coastal property, it would be included in the coastal zone.",https://data.cityofnewyork.us/Environmental-Sustainability/Coastal-Boundaries/bvc7-nbpp,0,Environmental Sustainability,"water, zoning, development, shore, coast, dcp, coastal boundaries",0,bvc7-nbpp
Filter,Vacant Publicly Owned Land (Facilities-and-Structures/Vacant-Publicly-Owned-Land/c8vj-e9jc),Database of City-owned properties and private properties that the City leases for City agency use.,https://data.cityofnewyork.us/Facilities-and-Structures/Vacant-Publicly-Owned-Land/c8vj-e9jc,0,Facilities and Structures,"property, finance, lease, agency, city-owned, private, consumer affairs, dcas, administrative services",0,c8vj-e9jc
Map,Community Health Survey (GIS data) 2007 (Health/Community-Health-Survey-GIS-data-2007/bfyq-hyfp),"Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence.",https://data.cityofnewyork.us/Health/Community-Health-Survey-GIS-data-2007/bfyq-hyfp,0,Health,"health, safety, geographic, map, cartography, public, community, neighborhood, location, hospital, fund, boundary, boundaries, status, statistics, care",0,bfyq-hyfp
Map,ESRI map (Transportation/ESRI-map/yfsi-ncic),A list of all parking facilities in New York City,https://data.cityofnewyork.us/Transportation/ESRI-map/yfsi-ncic,0,Transportation,"parking facilities, car, automobile",0,yfsi-ncic
Tabular,Columbus Avenue BID Businesses (Business-and-Economic/Columbus-Avenue-BID-Businesses/h5nh-eqde),"A listing of all the shops in the Columbus Avenue Business Improvement District (BID) which runs along Columbus Avenue from  W 82nd St to W 67th (only to 68th on the west side of the street).
Update Frequency: As needed",https://data.cityofnewyork.us/Business-and-Economic/Columbus-Avenue-BID-Businesses/h5nh-eqde,0,Business and Economic,"columbus avenue, business improvement district, bid, merchant, merchandise, shop, shopping, business, sales, food, coffee, tea, shoes, services, hotels, entertainment, childrenâ€™s store, clothing, restaurants, cafes, wine, liquor, drinking establishments, bars, museums, cultural institutions",0,h5nh-eqde
Tabular,Community Car Service Vehicles (dataset/Community-Car-Service-Vehicles/scwj-eyn6),All TLC community car service vehicles,https://data.cityofnewyork.us/dataset/Community-Car-Service-Vehicles/scwj-eyn6,0,,"transportation, taxi, limousine, community, car, vehicle, service",0,scwj-eyn6
External,Community Car Services (Livery) - Bases (Transportation/Community-Car-Services-Livery-Bases/ijaw-4yr5),"Community Car Service Bases provide pre-arranged transportation throughout New York City. These bases range in size from small, neighborhood-based operations to large fleet-type companies that provide citywide service.  This list includes license numbers, names(s) of licensees, addresses, phones, and license types.",https://data.cityofnewyork.us/Transportation/Community-Car-Services-Livery-Bases/ijaw-4yr5,0,Transportation,,0,ijaw-4yr5
Map,Map of Pools (Facilities-and-Structures/Map-of-Pools/2jq5-qxzu),GIS Map of Pools in New York City Department of Parks & Recreation properties.,https://data.cityofnewyork.us/Facilities-and-Structures/Map-of-Pools/2jq5-qxzu,0,Facilities and Structures,"park, parks, nature, recreation, location, map, swim, swimming, pool, cartography, sports, geographic",0,2jq5-qxzu
Chart,Bar Chart (Environmental-Sustainability/Bar-Chart/n5vy-xgsx),"2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/Bar-Chart/n5vy-xgsx,0,Environmental Sustainability,"electricity, energy, environment, planning, power, utilities",0,n5vy-xgsx
Filter,Staten Island hotspot list (Media/Staten-Island-hotspot-list/mij6-xtv9),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/Staten-Island-hotspot-list/mij6-xtv9,0,Media,"geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,mij6-xtv9
Map,Ferry Terminal Locations (Transportation/Ferry-Terminal-Locations/9a56-tyfg),Location of the ferry terminals with basic descriptive information.,https://data.cityofnewyork.us/Transportation/Ferry-Terminal-Locations/9a56-tyfg,0,Transportation,"doitt gis, geographic, location, map, cartography, transportation, ferry, terminal",0,9a56-tyfg
External,Community Car Services (Livery) - Vehicles (Transportation/Community-Car-Services-Livery-Vehicles/3nx4-m5h6),"Community Car Service Bases provide pre-arranged transportation throughout New York City. These bases range in size from small, neighborhood-based operations to large fleet-type companies that provide citywide service. This list includes detailed vehicle information, including affiliated base, license numbers, names(s) of licensees, DMV license plate and VIN numbers, license types, expiration date, model year, and whether the vehicle is a hybrid or stretch limousine.",https://data.cityofnewyork.us/Transportation/Community-Car-Services-Livery-Vehicles/3nx4-m5h6,0,Transportation,,0,3nx4-m5h6
Map,Large Residential (Environmental-Sustainability/Large-Residential/y6kr-dsti),"2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company.",https://data.cityofnewyork.us/Environmental-Sustainability/Large-Residential/y6kr-dsti,0,Environmental Sustainability,"electricity, energy, environment, planning, power, utilities",0,y6kr-dsti
Blob,Green Project Checklist (Environmental-Sustainability/Green-Project-Checklist/my58-k6an),"The School Construction Authority's rating system for environmentally friendly buildings.
Update Schedule: As required",https://data.cityofnewyork.us/Environmental-Sustainability/Green-Project-Checklist/my58-k6an,0,Environmental Sustainability,"green, environment, sca, school, construction, authority, sustainability",0,my58-k6an
Tabular,Community District Breakdowns (Government/Community-District-Breakdowns/w3c6-35wg),Demographic statistics broken down by community districts,https://data.cityofnewyork.us/Government/Community-District-Breakdowns/w3c6-35wg,0,Government,"boundary, district, community, demography, demographic, statistic, youth, development",0,w3c6-35wg
Map,Staten Island WiFi hotspot locations (Media/Staten-Island-WiFi-hotspot-locations/rak2-5zdt),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/Staten-Island-WiFi-hotspot-locations/rak2-5zdt,0,Media,"geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,rak2-5zdt
Filter,nypd incidents (Other/nypd-incidents/29in-6dyn),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/nypd-incidents/29in-6dyn,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,29in-6dyn
Map,Stations on the N Line (Transportation/Stations-on-the-N-Line/f9cn-9ff8),Map of NYC Subway Entrances,https://data.cityofnewyork.us/Transportation/Stations-on-the-N-Line/f9cn-9ff8,0,Transportation,"location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station",0,f9cn-9ff8
External,Community Health Survey (SAS data) (Health/Community-Health-Survey-SAS-data-/hh8v-7m7u),"The New York City Community Health Survey (CHS) is an annual telephone survey conducted by the Health Department that provides robust data on the health of New Yorkers, including neighborhood, borough and citywide estimates on a broad range of health behaviors, health care access indicator and chronic health conditions.  A SAS dataset (along with a codebook and a SAS program to access and analyze the data) have been provided.  Correct analysis of CHS data requires computer software able to adjust for the surveyâ€™s complex design, such as SAS-callable SUDAAN (sample code provided) or survey modules in SAS, STATA or SPSS.",https://data.cityofnewyork.us/Health/Community-Health-Survey-SAS-data-/hh8v-7m7u,0,Health,,0,hh8v-7m7u
External,Commuter Van Services - Drivers (Transportation/Commuter-Van-Services-Drivers/rqzz-2ajy),"Commuter Van Authorizations provide pre-arranged transportation to passengers throughout New York City on a regular daily basis. They are authorized to operate within specific geographic areas. This list includes current status of Commuter Van Driver Licenses, including TLC License Number, name of licensee, license type and expiration date.",https://data.cityofnewyork.us/Transportation/Commuter-Van-Services-Drivers/rqzz-2ajy,0,Transportation,,0,rqzz-2ajy
Map,TREES-TRIAL 2 (Environmental-Sustainability/TREES-TRIAL-2/thy2-guhh),"Manhattan street tree census inventory
Update Frequency: As Needed",https://data.cityofnewyork.us/Environmental-Sustainability/TREES-TRIAL-2/thy2-guhh,0,Environmental Sustainability,"park, parks, nature, recreation, tree, census, arbor, geographic, manhattan",0,thy2-guhh
Map,NYC_wifi_view_1 (Media/NYC_wifi_view_1/ujxq-yi5t),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/NYC_wifi_view_1/ujxq-yi5t,0,Media,"geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",0,ujxq-yi5t
Map,New Jersey transit (Transportation/New-Jersey-transit/vmfg-stp6),Line feature representing New Jersey Transit.,https://data.cityofnewyork.us/Transportation/New-Jersey-transit/vmfg-stp6,0,Transportation,"doitt gis, geographic, location, map, cartography, transportation, nj, new jersey, line, transit, train, commute",0,vmfg-stp6
Map,911 Receiving Hospitals (Public-Safety/911-Receiving-Hospitals/tzvj-yhh2),"This data set shows the location of  911 receiving hospitals in New York City. 911 receiving hospitals are those that receive patients from ambulances dispatched by EMS.  911 receiving hospitals must fulfill criteria set by EMS, including an emergency room staffed by experienced emergency physicians, specialists on call 24 hours a day; an intensive care unit; and various levels of staffing and equipment availability.",https://data.cityofnewyork.us/Public-Safety/911-Receiving-Hospitals/tzvj-yhh2,0,Public Safety,"map, location, cartography, emergency, oem, hospital, patient, ambulance, dispatch, ems, 911, physician, doctor, nurse, specialist, intensive care, icu, er, injured, injury, sick, health, public safety, hospitals",0,tzvj-yhh2
